Article_Name,Link,About,Skills
Android ViewBinding Migration,https://medium.com/@kamilmasyhur/android-viewbinding-migration-16070e24b752?source=topic_page---------0------------------1----------,--------,andriod development
Large-screen UI in the Google I/O App,https://medium.com/androiddevelopers/large-screen-ui-in-the-google-i-o-app-c4d3ddd98bd0?source=topic_page---------1------------------1----------,--------,andriod development
Actor based peaceful state management,https://proandroiddev.com/actor-based-peaceful-state-management-4ea7ca2a1ae9?source=topic_page---------2------------------1----------,--------,andriod development
What Matters Most to You? Here’s How to Find Out.,https://betterhumans.pub/what-matters-most-to-you-heres-how-to-find-out-13ac057b7850?source=topic_page---------4------------------1----------,--------,andriod development
Video Recording and Playback App in React Native Expo (Android & IOS),https://medium.com/geekculture/video-recording-and-playback-app-in-react-native-expo-android-ios-f6390bab65e8?source=topic_page---------5------------------1----------,--------,andriod development
Automated migration of your projects to Bazel build system with Airin,https://proandroiddev.com/automated-migration-of-your-projects-to-bazel-build-system-with-airin-304fa8b3680c?source=topic_page---------6------------------1----------,--------,andriod development
RecyclerView with different items and multiple columns grid,https://serjantarbuz.medium.com/recyclerview-with-different-items-and-multiple-columns-grid-724618d5d4e4?source=topic_page---------7------------------1----------,--------,andriod development
Writing your profiler to analyze application performance on Android,https://medium.com/@FunCorp/writing-your-profiler-to-analyze-application-performance-on-android-f343fe8a1b5b?source=topic_page---------8------------------1----------,--------,andriod development
How to create a view programmatically with Android MotionLayout,https://medium.com/@grazianorizzi/how-to-create-a-view-programmatically-with-android-motionlayout-832d92490162?source=topic_page---------9------------------1----------,--------,andriod development
Integration of Fingerprint and 3D Face Authentication with BioAuthn in Android apps using Huawei…,https://medium.com/huawei-developers/beginner-integration-of-fingerprint-and-3d-face-authentication-with-bioauthn-in-android-apps-using-ade8280b0908?source=topic_page---------10------------------1----------,--------,andriod development
Now in Android #44,https://medium.com/androiddevelopers/now-in-android-44-88e438622436?source=topic_page---------11------------------1----------,--------,andriod development
Top Android MVI libraries in 2021,https://proandroiddev.com/top-android-mvi-libraries-in-2021-de1afe890f27?source=topic_page---------12------------------1----------,--------,andriod development
Introducing Navigation-Material 🧭🎨️,https://jossiwolf.medium.com/introducing-navigation-material-%EF%B8%8F-a19ed5cc33fd?source=topic_page---------13------------------1----------,--------,andriod development
Animations in Navigation Compose,https://medium.com/androiddevelopers/animations-in-navigation-compose-36d48870776b?source=topic_page---------14------------------1----------,--------,andriod development
