Article_Name,Link,About,Skills,
Leading with a cybersecurity mindset,https://medium.com/geekculture/leading-with-a-cybersecurity-mindset-44aa0a557c5b?source=topic_page---------0------------------1----------,--------,cybersecurity,https://medium.com/geekculture/leading-with-a-cybersecurity-mindset-44aa0a557c5b?source=topic_page---------0------------------1----------
Using Sqlmap for Database Takeover,https://medium.com/dark-roast-security/using-sqlmap-for-database-takeover-e2c1d67759fa?source=topic_page---------1------------------1----------,An overview of using Sqlmap to exploit SQL injection vulnerabilities.,cybersecurity,https://medium.com/dark-roast-security/using-sqlmap-for-database-takeover-e2c1d67759fa?source=topic_page---------1------------------1----------
How to create your own VPN on Windows with OpenVPN?,https://ohyicong.medium.com/how-to-create-your-own-vpn-on-windows-with-openvpn-80a1ab821e9f?source=topic_page---------2------------------1----------,Have a spare windows PC around? Why not convert it into a VPN server with 5 simple steps.,cybersecurity,https://ohyicong.medium.com/how-to-create-your-own-vpn-on-windows-with-openvpn-80a1ab821e9f?source=topic_page---------2------------------1----------
Secure Coding Fundamentals,https://medium.com/@vishalgoel2668/secure-coding-fundamentals-928e033c12da?source=topic_page---------4------------------1----------,Getting started in code securing in java with some most common examples.,cybersecurity,https://medium.com/@vishalgoel2668/secure-coding-fundamentals-928e033c12da?source=topic_page---------4------------------1----------
Understanding RSA,https://medium.com/@dattadunga/understanding-rsa-ebe7b5ab0e63?source=topic_page---------5------------------1----------,"Let’s go right to the point, then. Cryptography secures information by transforming it into a safe structure. Thanks to cryptography…",cybersecurity,https://medium.com/@dattadunga/understanding-rsa-ebe7b5ab0e63?source=topic_page---------5------------------1----------
Your images compromise your security,https://0xdaniooo.medium.com/your-images-compromise-your-security-5ad9beb72a13?source=topic_page---------6------------------1----------,"Everytime you take a photo, your device will store that in an image format for you to enjoy however this isn’t the only information that…",cybersecurity,https://0xdaniooo.medium.com/your-images-compromise-your-security-5ad9beb72a13?source=topic_page---------6------------------1----------
Staking Migration Guide — How to Participate,https://medium.com/fetch-ai/staking-migration-guide-how-to-participate-69a60cb5e2eb?source=topic_page---------7------------------1----------,"To aid those looking to participate in the test migration, the decision tree above should help you arrive at a decision fairly easily.",cybersecurity,https://medium.com/fetch-ai/staking-migration-guide-how-to-participate-69a60cb5e2eb?source=topic_page---------7------------------1----------
"Humanode: Strategic partnership with Republic Crypto, Substrate CLI to run and test local…",https://medium.com/paradigm-fund/humanode-strategic-partnership-with-republic-crypto-substrate-cli-to-run-and-test-local-fc670f80090?source=topic_page---------8------------------1----------,"Biweekly update vol. 3, 23rd July — 6th August",cybersecurity,https://medium.com/paradigm-fund/humanode-strategic-partnership-with-republic-crypto-substrate-cli-to-run-and-test-local-fc670f80090?source=topic_page---------8------------------1----------
How to secure your Kubernetes control plane and node components,https://amitashwini.medium.com/how-to-secure-your-kubernetes-control-plane-and-node-components-52c8d4dca854?source=topic_page---------9------------------1----------,Kubernetes is an open-source container orchestration platform designed to run distributed services and applications at scale. A K8s or…,cybersecurity,https://amitashwini.medium.com/how-to-secure-your-kubernetes-control-plane-and-node-components-52c8d4dca854?source=topic_page---------9------------------1----------
Using THC Hydra To Brute Force Login Forms,https://medium.com/codex/using-thc-hydra-to-brute-force-login-forms-7ee9c28a863c?source=topic_page---------10------------------1----------,THC Hydra is a powerful tool to use against login forms. It can perform brute force and dictionary attacks against different types of…,cybersecurity,https://medium.com/codex/using-thc-hydra-to-brute-force-login-forms-7ee9c28a863c?source=topic_page---------10------------------1----------
