Article_Name,Link,About,Skills
Can you really use ROI as your only metric in innovation?,https://jairribeiro.medium.com/can-you-really-use-roi-as-a-metric-in-innovation-881d38a6dfef?source=rss------strategy-5,Analyzing the challenges of using ROI as the only metric when evaluating innovation projects and initiatives.,data_science
Use this clustering method if you have many outliers,https://towardsdatascience.com/use-this-clustering-method-if-you-have-many-outliers-5c99b4cd380d,The k-medians variation for robust outcomes,data_science
IPL Powerplay Score Prediction using AWS Lambda,https://medium.com/@sumankanukollu/ipl-powerplay-score-prediction-using-aws-lambda-73a580b63ba2,"We start with a basic understanding of powerplay in IPL, and quickly go through “Powerplay” score prediction walk through & HyperParameters",data_science
Predicting Used Car Prices with Machine Learning Techniques,https://towardsdatascience.com/predicting-used-car-prices-with-machine-learning-techniques-8a9d8313952,Comparing Performance of Five Different ML Models,data_science
Grind Settings for Espresso,https://towardsdatascience.com/grind-settings-for-espresso-e92d07da05c8,A Data Driven Guide,data_science
Time Series in Python,https://abhinaya-sridhar-rajaram.medium.com/time-series-arima-sarima-10f5b6a528d5,Box-Jenkins modeling strategy for building SARIMA model,data_science
Content Base Movie Recommendation Engine,https://amanattar.medium.com/content-base-movie-recommendation-engine-aae497bb3828,A recommendation engine filters the data using different algorithms and recommends the most relevant items to users. ,data_science
Exploratory Data Analysis with Well Log Data,https://towardsdatascience.com/exploratory-data-analysis-with-well-log-data-98ad084c4e7,"Once data has been collated and sorted through, the next step in the Data Science process is to carry out Exploratory Data Analysis (EDA).",data_science
Exploring the Dataverse through a Virtual Reality Windshield,https://medium.com/mlearning-ai/exploring-the-dataverse-through-a-virtual-reality-windshield-92a4a82e3be3,"One small hype for ‘some’, or one more ‘giant leap for mankind’?",data_science
Actionable Insights from 4 Types of Data Analytics,https://towardsdatascience.com/actionable-insights-from-descriptive-diagnostic-predictive-prescriptive-data-analytics-drivetrain-approach-f4e08828cc7,Systematic way of collecting data and extracting actionable insights using the Drivetrain Approach.,data_science
Prescriptive Data Science 101: Types of Problems,https://medium.com/@minha.hwang/prescriptive-data-science-101-types-of-problems-and-methods-for-a-single-agent-case-e80cf879ccb6,"Welcome back to a series of articles on prescriptive data science! In my last post, I talked about descriptive, predictive, and…",data_science
Predicting Disneyland Wait Times through Population Simulations,https://towardsdatascience.com/predicting-disneyland-wait-times-through-population-simulations-20f44c7582f6,Using minute-by-minute simulations to analyze crowd decision-making within Disneyland,data_science
Going for Gold: Predicting medal outcomes in the Olympics using Generalized Linear Modeling,https://towardsdatascience.com/going-for-gold-predicting-medal-outcomes-in-the-olympics-using-generalized-linear-modeling-e6e9d4837ae8,A fun introduction to GLMs using an Olympics dataset,data_science
A Day in the Life of a Data Scientist in San Francisco,https://towardsdatascience.com/a-day-in-the-life-of-a-data-scientist-in-san-francisco-ffe32ca52d20,What does a data scientist actually do on a typical day at work?,data_science
Useful Exploratory Data Analysis packages in Python,https://medium.com/geekculture/useful-exploratory-data-analysis-packages-in-python-f54e14b79cc9,"Exploratory Data Analysis is important in developing an understanding of your data, through which you can make any hypotheses or…",data_science
How to Publish your Data Science Project as a Web App using Julia and Genie,https://towardsdatascience.com/how-to-publish-your-data-science-or-machine-learning-project-as-a-web-app-using-julia-and-genie-e83d2733806d,"In this guide, I give a short introduction on how to get started building a web app for your data science project using the programming language Julia and the Julia web framework Genie",data_science
Reducing Disparities in Infant Mortality: Using Big Data to Help Babies at Risk,https://medium.com/rand-corporation/reducing-disparities-in-infant-mortality-using-big-data-to-help-babies-at-risk-bf9cd45402fc,"Researchers pulled together thousands of data points on more than 150,000 births to better predict who is at risk and how to help them.",data_science
Data Science in Climate Change,https://pfmoro-analytics-rpa.medium.com/data-science-in-climate-change-7ba2dd948aa7,A Data Based Aproach to climate change,data_science
Data Science for Education — A Revolution to look forward to,https://towardsdatascience.com/data-science-for-personalized-learning-bad7385bc7c4,"With the current state of technical advancements in the artificial intelligence domain, integrating AI into online adaptive assessment systems can steer a major shift in the existing learning systems",data_science
How PagerDuty Applies DevOps Best Practices to Achieve More Reliable Data at Scale,https://towardsdatascience.com/how-pagerduty-applies-devops-best-practices-to-achieve-more-reliable-data-at-scale-67fa6ba75242?source=topic_page---------48------------------1----------,Here’s how the company pioneering incident management prevents  data downtime.,data_science
What Data Relationship are You In?,https://heatherkrause.medium.com/what-data-relationship-are-you-in-91633161ac2f,"When we want to address equity in data science, we often need to talk about power and we sometimes need to talk about money. It can be…",data_science
Graph Thinking,https://medium.com/knowledge-technologies/graph-thinking-5e9c85134ab0,"A kind of cognitive framework called graph thinking is circulating through the KGC community. So let’s explore this notion. Also, let’s…",data_science
Zomato Data Analysis with Jupyter Notebook,https://medium.com/knowledge-technologies/graph-thinking-5e9c85134ab0,"Data Analysis of Zomato using pandas, NumPy, seaborn, and matplotlib library.",data_science
"Data Validation — Measuring Completeness, Consistency, and Accuracy Using Great Expectations with…",https://medium.com/99p-labs/data-validation-measuring-completeness-consistency-and-accuracy-using-great-expectations-with-c0ad2924e425,Motivation and Defining Metrics,data_science
Jupyter Notebooks Versus Dataiku DSS for Data Science,https://col-jung.medium.com/jupyter-notebooks-versus-dataiku-dss-for-data-science-e02264a753ca?source=topic_page---------53------------------1----------,Taste of Next Generation Enterprise AI — No Coding Needed!,data_science
