Article_Name,Link,About,Skills
"Its AM-UN-DSEN, which every data driven company needs ( PART 1)",https://ajithshetty28.medium.com/its-am-un-dsen-which-every-data-driven-company-needs-part-1-da07019c4c8f?source=topic_page---------0------------------1----------,"In the beginning of the Digital era, the every decision we take is backed by a data.",data_science
How to create your own datasets for machine learning ?,https://urwamuaz.medium.com/how-to-create-your-own-datasets-for-machine-learning-7ff020945ce8?source=topic_page---------1------------------1----------,Building your own datasets in few hours.,data_science
Fun Data Analysis on My Baby’s Activities,/@crystellazheng/fun-data-analysis-on-my-babys-activities-d2d387f6ac5?source=topic_page---------2------------------1----------,Here’s my first published study for my baby son.,data_science
Are We Ready For Data Marketplaces?,https://vedsen.medium.com/are-we-ready-for-data-marketplaces-7bd446733a7e?source=topic_page---------4------------------1----------,Here’s an interesting question. What percentage of the data you consume at work every day originates outside of your organisation? The…,data_science
Marketing Strategies for the Wholesale Market Using AI,https://leonardo-nogueira.medium.com/marketing-strategies-for-the-wholesale-market-using-ai-79dd75b72ce8?source=topic_page---------5------------------1----------,"Companies in the wholesale business are well aware of the competition dilemma: low prices, multiple competitors, and sometimes unfaithful…",data_science
What is an ARIMA model?,https://mirandaauhl.medium.com/what-is-an-arima-model-9e200f06f9eb?source=topic_page---------6------------------1----------,taking a quick peek into ARIMA modeling,data_science
Design better charts in PowerPoint,https://bootcamp.uxdesign.cc/design-better-charts-in-powerpoint-16f3bf4b99d0?source=topic_page---------7------------------1----------,Six rules to improve data visualization in your presentations,data_science
International Travel Advisory and Restriction Data — Part I,https://rruntsch.medium.com/international-travel-advisory-and-restriction-data-part-i-509e7bc9f2b1?source=topic_page---------8------------------1----------,Enhance your personal travel safety and employee travel data analytics solutions with U.S. State Department travel advisory data and…,data_science
How the science of data is transforming life,/purdue-engineering/how-the-science-of-data-is-transforming-life-45902a63475f?source=topic_page---------9------------------1----------,This is the age of data science. The revolution in information technology that has swept the world these past decades has reached the point…,data_science
Crunching big data for good healthcare policy,/purdue-engineering/crunching-big-data-for-good-healthcare-policy-2905643eeaf9?source=topic_page---------10------------------1----------,"The healthcare industry in the United States is enormous. In 2019, U.S. healthcare spending was $3.8 trillion — 17.7 percent of gross…",data_science
Node customization for stunning networks,https://towardsdatascience.com/node-customization-for-stunning-networks-d1f74cf2e46d?source=topic_page---------11------------------1----------,Merging igraph with visNetwork,data_science
The Difference Between Classification and Regression in Machine Learning,https://towardsdatascience.com/the-difference-between-classification-and-regression-in-machine-learning-4ccdb5b18fd3?source=topic_page---------12------------------1----------,The Problem of Function Approximation,data_science
A New Take on Analytical Workflow Management,https://towardsdatascience.com/a-new-take-on-analytical-workflow-management-e14b8588cdfe?source=topic_page---------13------------------1----------,"A workflow made by an analytics professional, for analytics professionals",data_science
Analyzing ML Model using Dashboard,https://towardsdatascience.com/analyzing-ml-model-using-dashboard-f69e17a942f9?source=topic_page---------14------------------1----------,Using Evidently for Creating Machine Learning Model Dashboard,data_science
Deploy FastAPI on Azure with Github Actions,https://towardsdatascience.com/deploy-fastapi-on-azure-with-github-actions-32c5ab248ce3?source=topic_page---------15------------------1----------,Automate your deployment workflow with Github Actions,data_science
7 Cool Python Packages Kagglers Are Using Without Telling You,https://towardsdatascience.com/7-cool-python-packages-kagglers-are-using-without-telling-you-e83298781cf4?source=topic_page---------16------------------1----------,Let me reveal the secrets…,data_science
Mask Detection using YOLOv5,https://towardsdatascience.com/mask-detection-using-yolov5-ae40979227a6?source=topic_page---------17------------------1----------,Explanation of key concepts followed by a simple mask detection implementation using YOLOv5,data_science
Data-Driven Approach for Schedule Optimizations,https://towardsdatascience.com/data-driven-approach-for-schedule-optimizations-60fdcba1376e?source=topic_page---------18------------------1----------,How to use Google OR-Tools for scheduling problems and visualize the output with Plotly,data_science
Data Viz meets Death,https://towardsdatascience.com/data-viz-meets-death-a481498f7a58?source=topic_page---------19------------------1----------,Exploring the interaction between the living and the deceased through data visualization,data_science
An Overview of ML on AWS,https://towardsdatascience.com/an-overview-of-ml-on-aws-d3c0ada16dac?source=topic_page---------20------------------1----------,A comprehensive set of resources for ML offerings from auto-AI services to building custom deep learning models,data_science
Increasing Model Reliability: Model Selection —  Cross-Validation —,https://towardsdatascience.com/increasing-model-reliability-model-selection-cross-validation-1ce0bf506cd?source=topic_page---------21------------------1----------,Model selection/types to increase result reliability with python implementation in one view.,data_science
Formula 1 Championship Predictor: A machine learning solution,/@willgeorge93/formula-1-championship-predictor-a-machine-learning-solution-a86efcb9298?source=topic_page---------22------------------1----------,"Question: “Can we predict the 2020 Formula 1 Championship, training on pre-2020 data?”",data_science
