Article_Name,Link,About,Skills
How to Call a Serverless Function Or Web API Periodically With iOS Shortcuts,https://betterprogramming.pub/how-to-call-a-serverless-function-or-web-api-periodically-with-ios-shortcuts-24f3e696c105?source=topic_page---------0------------------1----------,Automate your tasks using the power of shortcuts in iOS,ios development
Create a Shooting Game using Augmented Reality,/simform-engineering/create-a-shooting-game-using-augmented-reality-eb57099254ca?source=topic_page---------1------------------1----------,"Read how to create a 3D SceneKit model, render it in augmented reality, and apply physics collision to the object in real-time.",ios development
iOS — Record & Play an Audio Clip,https://itnext.io/ios-record-play-an-audio-clip-1ba8004543ee?source=topic_page---------2------------------1----------,iOS app can access the user’s microphone and encode the audio input. Recording and playing back audio clip are as easy as 7 steps only!,ios development
Swift Structs vs. Classes,https://nadiaahmadian.medium.com/swift-structs-vs-classes-f2014da7a20f?source=topic_page---------4------------------1----------,Class Example,ios development
Automatically translates views to use Auto Layout with Builder Pattern in Swift,https://overheardswift.com/automatically-translates-views-to-use-auto-layout-with-builder-pattern-b9b61fae9b1a?source=topic_page---------5------------------1----------,This is a follow-up post to my previous article entitled Build objects using block-based builder pattern in Swift. By using the same…,ios development
Creating a CLI in Swift,/meninunes/creating-a-cli-in-swift-aab387a002b3?source=topic_page---------6------------------1----------,"Although we shouldn’t create a CLI (Command Line Interface) for everything, all developers that I know, usually love a good command-line…",ios development
Video Recording and Playback App in React Native Expo (Android & IOS),/geekculture/video-recording-and-playback-app-in-react-native-expo-android-ios-f6390bab65e8?source=topic_page---------7------------------1----------,Build video recording application for both Android and IOS devices using javascript code,ios development
Introduction to Swift Programming: Hello World Tutorial,https://arc-sosangyo.medium.com/introduction-to-swift-programming-hello-world-c4e208354a9b?source=topic_page---------8------------------1----------,"I begin learning programming using Swift back when I was starting to venture on iOS app development. From there, I never stop making apps…",ios development
iOS Custom Accessibility Actions,/@r.whitaker/ios-custom-accessibility-actions-fcaa26963c08?source=topic_page---------9------------------1----------,Sometimes hiding interactive elements from your assistive technology users gives them a better experience while keeping your app…,ios development
Quick Win — Image Descriptions,/@r.whitaker/quick-win-image-descriptions-b5ab2e72e76?source=topic_page---------10------------------1----------,If your images are missing descriptions those without vision won’t be getting the full experience of your app.,ios development
storyboard to swiftui,/swiftify/storyboard-to-swiftui-c2a52c730617?source=topic_page---------11------------------1----------,"SwiftUI has evolved since its inception, according to the iOS Developer Community Survey 34.9% of the respondents have shipped SwiftUI code",ios development
MVVM’s view model architecture with Reactive Programming,/@jaimejazarenoiii/mvvms-view-model-architecture-with-reactive-programming-88f8deb89184?source=topic_page---------12------------------1----------,How to clean your view model and group it by objective,ios development
5 SwiftUI List Tricks for iOS 13,https://betterprogramming.pub/5-swiftui-list-tricks-for-ios-13-7431c5347a93?source=topic_page---------13------------------1----------,"Navigation, grouped styling, bulk deletion, expandable lists, and sections",ios development
Build objects using block-based builder pattern in Swift,https://overheardswift.com/build-objects-using-block-based-builder-pattern-in-swift-a8cbf641d0e6?source=topic_page---------14------------------1----------,"In Gang of Four Design Patterns, the builder pattern is one of the classic creational design patterns. This pattern is similar to other…",ios development
Basics of Swift UI Animations,/simform-engineering/basics-of-swift-ui-animations-d1aa2485a5d9?source=topic_page---------15------------------1----------,A simple step to step guide to getting started with basic swiftUI Animation,ios development
An Updated SKLightNode Page,/geekculture/an-updated-sklightnode-page-5fe2e16af6d3?source=topic_page---------16------------------1----------,Join me to re-document some of SpriteKits Nodes under SwiftUI,ios development
A Look at StaticString In Swift,https://betterprogramming.pub/a-look-at-staticstring-in-swift-542213f3c0fe?source=topic_page---------17------------------1----------,Understand how StaticString works in Swift,ios development
Create Static Library in swift,https://kananabilzada.medium.com/create-static-library-in-swift-b7dea6e97c7?source=topic_page---------18------------------1----------,"In this tutorial, I wanna show you how create static library for your reusable code.",ios development
Multi-User Collaborative iOS AR Experiences with Agora (Part 1 of 2),https://maxxfrazer.medium.com/multi-user-collaborative-ios-ar-experiences-with-agora-part-1-of-2-3818538d0c38?source=topic_page---------19------------------1----------,Agora is much more than a video streaming SDK. One other SDK available from Agora is the Real-time Messaging SDK.,ios development
Async/await operations — a new way of writing asynchronous code,https://barrage.medium.com/async-await-operations-a-new-way-of-writing-asynchronous-code-520488dd99c0?source=topic_page---------20------------------1----------,Async/await mechanism is the new way to write asynchronous code that you traditionally write with a completion handler (known as closure)…,ios development
7 Ways to Link SwiftUI Views to SpriteKit Scene,https://betterprogramming.pub/7-ways-to-link-swiftui-views-to-spritekit-scene-58180a57ab58?source=topic_page---------21------------------1----------,A look at some different ways to link a class with a SwiftUI interface,ios development
The Dark Art of Building an Enterprise-Grade Mobile App — Part 1,/@sundarsingh_2383/the-dark-art-of-building-an-enterprise-grade-mobile-app-part-1-34ff34387deb?source=topic_page---------22------------------1----------,A Mobile App is the epitome of digital presence. It means you care about your customers. It means you’ve found a way into their lives and…,ios development
The Dark Art of Building an Enterprise-Grade Mobile App — Part 2,/@sundarsingh_2383/the-dark-art-of-building-an-enterprise-grade-mobile-app-part-2-950f1d9e911b?source=topic_page---------23------------------1----------,This post is the second post in a series of posts that is part how-to and part journal outlining my journey with Mobile App development…,ios development
Which Mobile Development Framework Is Right For You?,https://javascript.plainenglish.io/which-mobile-development-framework-is-right-for-you-57d0c1bbfaf0?source=topic_page---------24------------------1----------,Which is the Best Choice for Mobile App Development Frameworks In 2021?,ios development
Swift Vs Objective C,https://upstackhq.medium.com/swift-vs-objective-c-c54f8d0091b8?source=topic_page---------25------------------1----------,"If you want to develop the perfect iOS app, you need to decide the language you will be using for the project. Basically, there are two…",ios development
Google login in Ionic Capacitor app with Angular,/enappd/google-login-in-ionic-capacitor-app-with-angular-bb0e8fbba620?source=topic_page---------26------------------1----------,"Learn how to implement Google login in your Ionic Angular Capacitor apps. Test the app in Android, iOS and web",ios development
"Apple Certificates,Identifiers,Devices, Profiles and keys",/@deepakgargavi/ios-certificates-identifiers-devices-profiles-and-keys-5cd224266474?source=topic_page---------27------------------1----------,In this lesson we will try to cover all the topics related to apple developer account(as shown in above image).Like there’s a lot of…,ios development
Programmatic AutoLayout in MVVM,/nerd-for-tech/programmatic-autolayout-in-mvvm-a06cc9e52890?source=topic_page---------28------------------1----------,How to write AutoLayout constraint programmatically in an MVVM app.,ios development
New Date Formatter API in Swift,/geekculture/new-date-formatter-api-f2e6da01d407?source=topic_page---------29------------------1----------,Master the new formatter API with a bunch of helpful examples,ios development
iOS/Swift Series: [#01] Comment,/geekculture/ios-swift-series-01-comment-ec56e0ec9012?source=topic_page---------30------------------1----------,"Use comments to include nonexecutable text in your code, as a note or reminder to yourself. Comments are ignored by the Swift compiler when…",ios development
iOS/Swift Series: [#01] Variables,/geekculture/ios-swift-series-01-variables-5bb07a7c05fc?source=topic_page---------31------------------1----------,"Swift is a fantastic way to write software, whether it’s for phones, desktops, servers, or anything else that runs code. It’s a safe, fast…",ios development
Swift simplified: Completion handler vs return,/@abhijithviswan/swift-completion-handler-vs-return-642ee1de43bf?source=topic_page---------32------------------1----------,"Hello readers,
Today after a very long time i am posting this article which will help you what is the completion handler and its usage and…",ios development
"SignIn with Apple — Integrating a Secure, Fast SignIn with Firebase and iOS in Swift",https://imryohei.medium.com/signin-with-apple-integrating-a-secure-fast-signin-with-firebase-and-ios-in-swift-ff34f52ca3a0?source=topic_page---------33------------------1----------,In this article you will be able to understand and develop Apple SignIn with Firebase and login page for iOS mobile app by the end of this…,ios development
Write Better Swift Code Using With(),https://betterprogramming.pub/better-swift-with-with-4b071b5ac394?source=topic_page---------34------------------1----------,Bring Kotlin like functional patterns to your Swift toolkit,ios development
WWDC 2021 iOS 15- Funny Tricks on UISheetPresentationController,https://itnext.io/ios-15-uisheetpresentationcontroller-d469d144a520?source=topic_page---------35------------------1----------,New Presentation Controller with Two Detents. I encountered two interesting tricky parts during my first trial. Click to understand more.,ios development
