Article_Name,Link,About,Skills
Linear Regression For absolute beginners in 5 minutes,https://medium.com/@tanishayadav10000/linear-regression-for-absolute-beginners-in-5-minutes-7e49811497f1?source=topic_page---------0------------------1----------,Linear regression with gradient descent in machine learning,machine learning
Tools for Efficient Deep Learning,https://medium.com/@contacttejasvi/tools-for-efficient-deep-learning-c9585122ded0?source=topic_page---------1------------------1----------,It’s been more than a year since I have been getting my hands dirty doing deep learning. Libraries like PyTorch and Keras make it easier to…,machine learning
The 3 levels of Natural Language Understanding,https://espaceship.medium.com/the-3-levels-of-natural-language-understanding-18f64bd2061c?source=topic_page---------2------------------1----------,"Early this year, natural language model “Wudao 2.0”, which has 1.75 trillion parameters (10x GPT-3) was presented in Beijing, China. It’s…",machine learning
Review — Pelee: A Real-Time Object Detection System on Mobile Devices,https://medium.com/nerd-for-tech/review-pelee-a-real-time-object-detection-system-on-mobile-devices-65fa30fa93c2?source=topic_page---------4------------------1----------,Pelee = Proposed PeleeNet as Backbone + Modified SSD as Object Detection Network (Image Classification & Object Detection),machine learning
An Introduction to Linear Algebra for Deep Learning,https://taha-huraibb99.medium.com/an-introduction-to-linear-algebra-for-deep-learning-c1b72de78543?source=topic_page---------5------------------1----------,"Deep learning is all about data, and we need to represent data and perform operations on them to train our deep networks. Data has to be…",machine learning
A list of research papers in Machine learning and Deep learning to read in 2021,https://monochelsea12.medium.com/a-list-of-research-papers-in-machine-learning-and-deep-learning-to-read-in-2021-e690a290ae46?source=topic_page---------6------------------1----------,“Find out the new ideas in Machine learning and Deep learning over here”,machine learning
WHAT IS GENERALIZATION IN MACHINE LEARNING ?,https://magnimind.medium.com/what-is-generalization-in-machine-learning-87951e27187e?source=topic_page---------7------------------1----------,"Before talking about generalization in machine learning, it’s important to first understand what supervised learning is. To answer…",machine learning
Node customization for stunning networks,https://towardsdatascience.com/node-customization-for-stunning-networks-d1f74cf2e46d?source=topic_page---------8------------------1----------,Merging igraph with visNetwork,machine learning
The Difference Between Classification and Regression in Machine Learning,https://towardsdatascience.com/the-difference-between-classification-and-regression-in-machine-learning-4ccdb5b18fd3?source=topic_page---------9------------------1----------,The Problem of Function Approximation,machine learning
A New Take on Analytical Workflow Management,https://towardsdatascience.com/a-new-take-on-analytical-workflow-management-e14b8588cdfe?source=topic_page---------10------------------1----------,"A workflow made by an analytics professional, for analytics professionals",machine learning
