Article_Name,Link,About,Skills
The Scrambled Brain of the Narcissist,https://medium.com/narcissistic-abuse-recovery-collaborators/the-scrambled-brain-of-the-narcissist-d87bfbd4bff5?source=topic_page---------0------------------1----------,The Structural Integrity of the Brain with NPD is Compromised,neuroscience
5 Common Habits Sabotaging Your Nervous System,https://medium.com/mind-cafe/5-common-habits-sabotaging-your-nervous-system-dee16f9e6d04?source=topic_page---------1------------------1----------,You’d be much better off decades from now if you reversed these.,neuroscience
How Heroic Hearts Is Spearheading Psilocybin Research to Treat Veterans,https://evan-lhealey.medium.com/how-heroic-hearts-is-spearheading-psilocybin-research-to-treat-veterans-6ccc5011e87c?source=topic_page---------2------------------1----------,Dr. Grace Blest-Hopley gives some of her time to talk about a new research initiative to treat traumatic brain injury with psychedelics.,neuroscience
The Surprising Health Benefits of Learning a Second Language,https://medium.com/in-fitness-and-in-health/the-surprising-health-benefits-of-learning-a-second-language-6db085b32e93?source=topic_page---------4------------------1----------,4 science-backed reasons languages can seriously improve your quality of life,neuroscience
How the Brain is (or isn’t) “Just” a Computer,https://medium.com/neurocollege/how-the-brain-is-or-isnt-just-a-computer-666df425dca9?source=topic_page---------5------------------1----------,"It is not uncommon to hear the quote that “The human brain is the most powerful machine in the Universe!”. Indeed, before refining what is…",neuroscience
One way a change in our neurochemistry could allow us to travel back in time,https://medium.com/predict/one-way-a-change-in-our-neurochemistry-could-allow-us-to-travel-back-in-time-8acf86b90870?source=topic_page---------6------------------1----------,How an enhancement to our dorsolateral prefrontal right cortex might allow a person to bypass the laws of physics and go back in time.,neuroscience
Balancing Our Neurotransmitters: Electrochemical Communication as the Biological Component of…,https://queeringthedots.medium.com/balancing-our-neurotransmitters-electrochemical-communication-as-the-biological-component-of-ae7fed945f8d?source=topic_page---------7------------------1----------,"By: Mike Morse, 2/23/2021",neuroscience
Understanding Addiction,https://dereklondon.medium.com/understanding-addiction-f5b0924e2f55?source=topic_page---------8------------------1----------,What dependency looks like neurologically,neuroscience
Thrill-K: A Blueprint for The Next Generation of Machine Intelligence,https://towardsdatascience.com/thrill-k-a-blueprint-for-the-next-generation-of-machine-intelligence-7ddacddfa0fe?source=topic_page---------9------------------1----------,Rethinking knowledge layering and construction for long-term viable AI,neuroscience
Is I.T. All Between Your Ears?,https://medium.com/neurotechx/is-i-t-all-between-your-ears-9b449053bc61?source=topic_page---------10------------------1----------,On the Computational Metaphor for Understanding the Brain,neuroscience
Prosopagnosia,https://medium.com/counterarts/prosopagnosia-514eee6a522b?source=topic_page---------11------------------1----------,When everyone’s faces are… missing,neuroscience
Glutamate as a cause of Neurodegenerative Diseases?,https://medium.com/illumination/glutamate-as-a-cause-of-neurodegenerative-diseases-54b259868257?source=topic_page---------12------------------1----------,The pathway has been revealed…,neuroscience
The Right Brain has been Left Behind,https://medium.com/the-writing-gym/the-right-brain-has-been-left-behind-2ca1cf57d6e9?source=topic_page---------13------------------1----------,"I made a happy, unplanned and fortunate discovery during the pandemic: a Physically Distant Socially Connected (PDSC) group of Safety…",neuroscience
Multiply Determined,https://medium.com/@AcademicsAnon/multiply-determined-e33bf6ad8d6c?source=topic_page---------14------------------1----------,"My father was a charming soul with modest tastes. A dark-complected hispanic man, he was born in East Los Angeles but would spend the…",neuroscience
NS/ ‘Neuroprosthesis’ restores words to man with paralysis,https://medium.com/paradigm-fund/ns-neuroprosthesis-restores-words-to-man-with-paralysis-e451de801411?source=topic_page---------15------------------1----------,"Neuroscience biweekly vol. 37, 7th July — 21st July",neuroscience
DMT: The Spirit Molecule That Keeps Amazing Us,https://medium.com/invisible-illness/dmt-the-spirit-molecule-that-keeps-amazing-us-d8ebd2dea220?source=topic_page---------16------------------1----------,Research suggests that this powerful psychoactive chemical could be produced within our brains.,neuroscience
How a Brain Scan Might Prove That You’re a Psychopath,https://betterhumans.pub/how-a-brain-scan-might-prove-that-youre-a-psychopath-d15129091b4b?source=topic_page---------17------------------1----------,"Dr. James Fallon devoted his life to studying psychopaths, before realizing a scan of a brain that looked like a serial killer’s…was his…",neuroscience
Immune Signals In Your Blood Predict Cognitive Decline,https://medium.com/predict/immune-signals-in-your-blood-predict-cognitive-decline-d4a67a96b6bd?source=topic_page---------18------------------1----------,Cytokines predict cognitive trajectory in healthy individuals,neuroscience
Why Drinking Alcohol EXCESSIVELY and Intellectual Development Don’t Mix,https://medium.com/ainyf-alcohol-is-not-your-friend/why-drinking-alcohol-excessively-and-intellectual-development-dont-mix-cc040605b99e?source=topic_page---------19------------------1----------,Don’t drown your brain in alcohol if you want to maximize your ability to think.,neuroscience
Tapping Into the Brain to Help a Paralyzed Man Speak,https://medium.com/the-new-york-times/tapping-into-the-brain-to-help-a-paralyzed-man-speak-879b09dcb118?source=topic_page---------20------------------1----------,"In a once unimagined accomplishment, electrodes implanted in the man’s brain transmit signals to a computer that displays his words",neuroscience
Depression Linked to the Brain’s Inability to Adapt,https://medium.com/invisible-illness/depression-linked-to-the-brains-inability-to-adapt-9dfa2c9e33e5?source=topic_page---------21------------------1----------,Create new neural connections between brain cells for cognitive flexibility.,neuroscience
