Article_Name,Link,About,Skills
Automated Product Trials or Demos,https://medium.com/dynamic-python/automated-product-trials-or-demos-1d004a632004?source=topic_page---------0------------------1----------,Docker Swarm meets automated Orchestration with WebDAV or all things!,programming
Local Virtual Environments for your Python code.,https://medium.com/road-to-full-stack-data-science/local-virtual-environments-for-your-python-code-42ed9e3a844d?source=topic_page---------1------------------1----------,Don’t break your code! Don’t lose your code! A short guide for data scientists,programming
Start a journey into the .NET Profiling APIs,https://chnasarre.medium.com/start-a-journey-into-the-net-profiling-apis-40c76e2e36cc?source=topic_page---------2------------------1----------,This is the first episode of a series digging into the .NET Profiling API to trace each method call parameters and return value.,programming
Testing HTTP servers in Go,https://iammehdi.medium.com/testing-http-servers-in-go-6b527fe5a4b6?source=topic_page---------4------------------1----------,These days writing automated tests for your software is just as important as any other phase in the development life cycle.,programming
Surviving the Pandemic as a Developer,https://medium.com/bugless/surviving-the-pandemic-as-a-developer-449fe9d42dd3?source=topic_page---------5------------------1----------,"Create interesting workplace encounters, cultivate a learning friendly environment and talking to a rubber duck.",programming
Row-wise and column-wise operations in dplyr and tidyverse,https://yingqijing.medium.com/column-wise-and-row-wise-operations-in-dplyr-and-tidyverse-da3638b5f46c?source=topic_page---------6------------------1----------,"With the development of dplyr or its umbrella package tidyverse, it becomes quite straightforward to perform operations over columns or…",programming
The 1 Analogy Lasting Your Entire Coding Career About Node.Js,https://medium.com/nerd-for-tech/the-1-analogy-lasting-your-entire-coding-career-about-node-js-514076e1ee?source=topic_page---------7------------------1----------,A little but yet powerful visualization about Node.js core architecture,programming
Learning to ‘Hack Android’ with picoCTF,https://sp4ghetticode.medium.com/learning-to-hack-android-with-picoctf-4d1334eb6929?source=topic_page---------8------------------1----------,A beginners guide to solving picoCTF’s ‘droid’ challenges,programming
Version Control System - Git: Setup,https://medium.com/@prathore28647/version-control-system-git-setup-15e3764f812?source=topic_page---------9------------------1----------,"In this article, we will see how to set up a GitHub account and create a new repository",programming
Enable Unity Ads in Mobile Games,https://valdarixgames.medium.com/enable-unity-ads-in-mobile-games-8eab9e1d358e?source=topic_page---------10------------------1----------,//Welcome to the dark side,programming
