Article_Name,Link,About,Skills
The Counselor as a Person and as a Professional,/psych-pstuff/the-counselor-as-a-person-and-as-a-professional-ff74e04e5686?source=topic_page---------0------------------1----------,"In the realm of psychotherapy, the personality of the counselor and its subsequent effect on the course of therapy and the therapeutic…",psychology
The Secret to Resilience,/the-thrive-project/the-secret-to-resilience-659b4bfa7cea?source=topic_page---------1------------------1----------,How your peer network enhances coping skills.,psychology
Munchausen’s Syndrome by Internet (MbI or MBI): Isolated Incidents or a New Disorder?,/beingwell/munchausens-syndrome-by-internet-mbi-or-mbi-isolated-incidents-or-a-new-disorder-9b86869c3b52?source=topic_page---------2------------------1----------,"A disorder of fictitious physical illnesses may require an extension to include a new psychiatric category, according to research now…",psychology
The Surprising Benefits of Talking to Strangers,/the-atlantic/the-surprising-benefits-of-talking-to-strangers-1affcba02ebd?source=topic_page---------4------------------1----------,So many of us have been raised to see strangers as dangerous and scary. What would happen if we instead saw them as potential sources of…,psychology
The Scrambled Brain of the Narcissist,/narcissistic-abuse-recovery-collaborators/the-scrambled-brain-of-the-narcissist-d87bfbd4bff5?source=topic_page---------5------------------1----------,The Structural Integrity of the Brain with NPD is Compromised,psychology
What do we actually know?,https://koenfucius.medium.com/what-do-we-actually-know-e9d98cacb426?source=topic_page---------6------------------1----------,Much of what we think we know is built on the powdery sands of conjecture and assumptions,psychology
How Science Explains Ouija Boards,/i-wanna-know/how-science-explains-ouija-boards-7b478586956e?source=topic_page---------7------------------1----------,It’s not exactly ghosts,psychology
Force of Habit,/snipette/force-of-habit-41fcb31d509?source=topic_page---------8------------------1----------,Neural firing and wiring in our most stubborn behaviours,psychology
The Iowans Who Changed Psychology,/park-recommendations/the-iowans-who-changed-psychology-bfcbb0628856?source=topic_page---------9------------------1----------,"A review of *The Orphans of Davenport: Eugenics, the Great Depression, and the War over Children’s Intelligence* by Marilyn Brookwood",psychology
"Fear of Change: Reasons, Psychology, Tips & Quotes",https://zoestellaxy.medium.com/fear-of-change-reasons-psychology-tips-quotes-9e56c7212f34?source=topic_page---------10------------------1----------,"Many people are afraid of change. 
Nobody knows exactly what is changing and what you are getting into. Leaving the security of the status…",psychology
