,course_id,course_title,url,level,content_duration,subject
0,1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,All Levels,1.5,Business Finance
1,1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,All Levels,39.0,Business Finance
2,1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,Intermediate Level,2.5,Business Finance
3,1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,All Levels,3.0,Business Finance
4,1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,Intermediate Level,2.0,Business Finance
5,192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,All Levels,3.0,Business Finance
6,739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,Beginner Level,1.0,Business Finance
7,403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,All Levels,2.5,Business Finance
8,476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,Expert Level,2.5,Business Finance
9,1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,All Levels,1.0,Business Finance
10,592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,All Levels,5.0,Business Finance
11,975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,All Levels,1.0,Business Finance
12,742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,All Levels,1.5,Business Finance
13,794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,All Levels,2.0,Business Finance
14,1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,All Levels,7.0,Business Finance
15,504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,Intermediate Level,1.5,Business Finance
16,719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,Beginner Level,1.5,Business Finance
17,564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,All Levels,4.0,Business Finance
18,606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,All Levels,1.5,Business Finance
19,58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,Beginner Level,0.5833333333333334,Business Finance
20,1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,All Levels,2.0,Business Finance
21,798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,All Levels,4.0,Business Finance
22,506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,All Levels,2.0,Business Finance
23,1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,Beginner Level,1.0,Business Finance
24,859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,All Levels,2.0,Business Finance
25,383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,All Levels,5.0,Business Finance
26,353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,All Levels,4.5,Business Finance
